pick_number,name,position,secondary_position,height_display,weight_lbs,archetype,tier,tier_label,projected_role,development_outlook,bust_risk,is_bust,attr_Driving Layup,attr_Three Point Shot,attr_Close Shot,attr_Ball Handle,attr_Speed,attr_Agility,attr_Draw Foul,attr_Mid Range Shot,attr_Free Throw,attr_Intangibles,attr_Post Fade,attr_Post Hook,attr_Post Control,attr_Pass IQ,attr_Pass Accuracy,attr_Offensive Rebound,attr_Standing Dunk,attr_Shot IQ,attr_Pass Vision,attr_Hands,attr_Defensive Rebound,attr_Interior Defense,attr_Perimeter Defense,attr_Block,attr_Steal,attr_Speed With Ball,attr_Vertical,attr_Strength,attr_Stamina,attr_Hustle,attr_Head Durability,attr_Neck Durability,attr_Back Durability,attr_Left Shoulder Durability,attr_Right Shoulder Durability,attr_Left Elbow Durability,attr_Right Elbow Durability,attr_Left Hip Durability,attr_Right Hip Durability,attr_Left Knee Durability,attr_Right Knee Durability,attr_Left Ankle Durability,attr_Right Ankle Durability,attr_Left Foot Durability,attr_Right Foot Durability,attr_Miscellaneous Durability,attr_Pass Perception,attr_Defensive Consistency,attr_Help Defense IQ,attr_Offensive Consistency,attr_Potential,tend_Step Through Shot,tend_Shot Under Basket,tend_Shot Close,tend_Shot Close Left,tend_Shot Close Middle,tend_Shot Close Right,tend_Shot Mid-Range,tend_Spot Up Shot Mid-Range,tend_Off Screen Shot Mid-Range,tend_Shot Mid Left,tend_Shot Mid Left-Center,tend_Shot Mid Center,tend_Shot Mid Right-Center,tend_Shot Mid Right,tend_Shot Three,tend_Spot Up Shot Three,tend_Off Screen Shot Three,tend_Shot Three Left,tend_Shot Three Left-Center,tend_Shot Three Center,tend_Shot Three Right-Center,tend_Shot Three Right,tend_Contested Jumper Three,tend_Contested Jumper Mid-Range,tend_Stepback Jumper Three,tend_Stepback Jumper Mid-Range,tend_Spin Jumper,tend_Transition Pull-Up Three,tend_Drive Pull Up Three,tend_Drive Pull Up Mid-Range,tend_Use Glass,tend_Driving Layup,tend_Standing Dunk,tend_Driving Dunk,tend_Flashy Dunk,tend_Alley-Oop,tend_Putback,tend_Crash,tend_Spin Layup,tend_Hop Step Layup,tend_Euro Step Layup,tend_Floater,tend_Triple Threat Pump Fake,tend_Triple Threat Jab Step,tend_Triple Threat Idle,tend_Triple Threat Shoot,tend_Setup With Sizeup,tend_Setup With Hesitation,tend_No Setup Dribble,tend_Drive,tend_Spot Up Drive,tend_Off Screen Drive,tend_Drive Right,tend_Driving Crossover,tend_Driving Spin,tend_Driving Step Back,tend_Driving Half Spin,tend_Driving Double Crossover,tend_Driving Behind the Back,tend_Driving Dribble Hesitation,tend_Driving In and Out,tend_No Driving Dribble Move,tend_Attack Strong on Drive,tend_Pass to Open Man,tend_Flashy Pass,tend_Alley-Oop Pass,tend_Post Up,tend_Post Shimmy Shot,tend_Post Face Up,tend_Post Back Down,tend_Post Aggressive Back Down,tend_Shoot From Post,tend_Post Hook Left,tend_Post Hook Right,tend_Post Fade Left,tend_Post Fade Right,tend_Post Up and Under,tend_Post Hop Shot,tend_Post Step Back Shot,tend_Post Drive,tend_Post Spin,tend_Post Drop Step,tend_Post Hop Step,tend_Shot,tend_Touches,tend_Roll vs Pop,tend_Transition Spot Up,tend_Iso vs Elite Defender,tend_Iso vs Good Defender,tend_Iso vs Average Defender,tend_Iso vs Poor Defender,tend_Play Discipline,tend_Pass Interception,tend_Take Charge,tend_On-Ball Steal,tend_Contest Shot,tend_Block Shot,tend_Foul,tend_Hard Foul,badge_Adrenaline Rush,badge_Brick Wall,badge_Bruiser,badge_Claymore,badge_Comeback Kid,badge_Competitor,badge_Floor General,badge_Grease Lightning,badge_Heart of Gold,badge_Hot Zone Hunter,badge_Interceptor,badge_Iron Will,badge_Killer Instinct,badge_Large and In Charge,badge_Momentum Shifter,badge_Quick Study,badge_Resilience,badge_Solid Foundation,badge_Spark Plug,badge_Steadfast,badge_Team Ace,badge_Temperament,badge_Thriller,badge_Torch Bearer,badge_Winner,badge_Acrobat,badge_And-1 Threat,badge_Backdown Punisher,badge_Bully,badge_Contact Finisher,badge_Corner Pocket,badge_Deep Hooks,badge_Dream Shake,badge_Dropstepper,badge_Float Game,badge_Giant Slayer,badge_Layup Mixmaster,badge_Paint Prodigy,badge_Physical Finisher,badge_Post Fade Phenom,badge_Post Powerhouse,badge_Post Spin Technician,badge_Posterizer,badge_Pro Touch,badge_Putback Artist,badge_Rise Up,badge_Slithery Finisher,badge_Tear Dropper,badge_Up and Under,badge_Catch and Shoot,badge_Clutch Shooter,badge_Corner Specialist,badge_Deadeye,badge_Deep Fades,badge_Green Machine,badge_Limitless Range,badge_Mismatch Expert,badge_Off-Ball Pest,badge_Pull-Up Precision,badge_Quick Draw,badge_Rhythm Shooter,badge_Set Shot Specialist,badge_Shifty Shooter,badge_Shimmy Shooter,badge_Slippery Off-Ball,badge_Space Creator,badge_Stop and Pop,badge_Volume Shooter,badge_Ankle Assassin,badge_Break Starter,badge_Chef,badge_Clamp Breaker,badge_Dimer,badge_Downhill,badge_Dream Shaker,badge_Dribble Weave,badge_Handles for Days,badge_Hyperdrive,badge_Killer Combos,badge_Last Chance Passer,badge_Lob City Passer,badge_Needle Threader,badge_Pace Setter,badge_Pick and Roll Maestro,badge_Playmaker,badge_Post Playmaker,badge_Quick First Step,badge_Special Delivery,badge_Stop and Go,badge_Unpluckable,badge_Versatile Visionary,badge_Versatilist,badge_Box,badge_Challenger,badge_Clamps,badge_Crowd Control,badge_Defensive Leader,badge_Defensive Stopper,badge_Disruption,badge_Fast Feet,badge_Glove,badge_Guard Up,badge_Hard Foul,badge_High-Flying Denier,badge_High-Low Detective,badge_Intimidator,badge_Menace,badge_On-Ball Menace,badge_Pick Dodger,badge_Pogo Stick,badge_Rim Protector,badge_Shot Contester,badge_Sweep the Leg,badge_Tireless Defender,badge_Trapper,badge_Aerial Wizard,badge_Agility Booster,badge_Chase Down Artist,badge_Coiled Spring,badge_Fast Twitch,badge_Freight Train,badge_High Flyer,badge_Jump Starter,badge_Lightning Launch,badge_Mouse in the House,badge_Physical Specimen,badge_Physical Toughness,badge_Power Mover,badge_Speed Booster,badge_Traction,badge_Boxout Beast,badge_Crash,badge_Exhibition,badge_Glass Cleaner,badge_Glue Hands,badge_Hustle Rebounder,badge_Long Range Rebound,badge_Mega Patron,badge_Post Move Lockdown,badge_Power Rebounder,badge_Rebound Chaser,badge_Sky Walker,badge_Strong Handle,badge_Worm
11,Tobias Kouyate,PF,,"7'2""",262,Playmaking Big,3,Starter / Rotation,Solid Starter,Career Backup,Moderate-High,False,46,64,53,65,59,42,42,79,60,72,47,44,74,83,85,82,46,46,79,47,83,73,47,66,58,47,60,81,57,48,86,79,81,88,86,75,78,79,80,79,90,78,80,78,85,76,70,66,55,58,81,52,35,44,54,61,53,79,45,59,63,42,46,52,55,30,64,44,64,52,49,64,45,61,54,41,62,54,37,61,41,54,42,37,52,59,47,64,45,58,49,48,58,49,40,47,58,60,56,59,54,47,57,36,56,57,47,40,55,49,57,50,51,48,70,43,74,58,50,56,53,39,48,54,37,37,54,48,48,59,65,54,63,61,42,36,48,35,53,48,61,62,52,40,58,46,40,66,49,44,None,None,Silver,Bronze,None,Silver,Silver,Bronze,Bronze,None,Bronze,None,Bronze,None,None,Silver,None,Bronze,None,None,Bronze,None,None,None,None,Gold,None,Bronze,None,None,None,Bronze,Silver,Bronze,None,None,Bronze,None,None,None,Silver,None,None,Silver,Silver,None,None,Gold,None,Bronze,Bronze,Silver,None,Gold,None,None,Bronze,Bronze,None,Bronze,None,None,Bronze,Silver,Silver,None,None,Gold,Gold,Bronze,None,None,Bronze,None,None,None,Bronze,Silver,Bronze,None,Silver,None,None,Bronze,None,Gold,None,Gold,Bronze,Bronze,None,Bronze,Bronze,Bronze,None,None,None,None,Bronze,None,Bronze,None,None,Bronze,Gold,None,Bronze,None,Silver,None,Gold,None,Bronze,Silver,None,Gold,Silver,None,Silver,None,Silver,Bronze,None,None,Silver,None,None,Gold,Silver,Bronze,None,Silver,Bronze,Silver,None,None,None,None,None,None,None,Silver,Bronze,Bronze
12,Chris Morgan,SF,PF,"6'4""",225,Defensive Connector,3,Starter / Rotation,Solid Starter,Ceiling Chaser,High — Underperforming Prospect,True,43,70,46,41,82,39,54,39,43,50,42,42,39,39,46,41,49,47,44,43,31,75,82,65,74,42,41,76,40,87,71,70,79,70,81,68,75,76,78,67,65,72,66,68,65,63,47,92,93,61,75,40,40,50,36,44,44,52,50,63,59,63,40,44,51,46,65,41,50,41,40,35,62,47,50,49,44,51,46,48,38,44,62,36,47,35,54,58,64,45,60,47,61,35,55,60,58,52,45,65,32,57,37,51,48,36,47,56,40,53,50,64,54,35,84,38,43,24,39,46,35,48,56,54,48,38,58,64,39,37,49,52,57,47,65,45,42,56,52,38,50,59,65,81,40,90,97,66,44,35,Silver,None,Silver,Silver,Silver,None,Silver,None,None,None,None,None,Silver,None,Bronze,Silver,Bronze,Silver,None,Bronze,Silver,None,None,None,None,None,None,None,Silver,Bronze,None,Hall of Fame,Gold,None,Bronze,Bronze,None,None,None,None,Bronze,None,None,Gold,None,Silver,Bronze,Gold,None,None,Silver,None,None,Bronze,None,Bronze,None,None,Silver,None,Gold,Bronze,None,Bronze,None,Bronze,None,Gold,None,Bronze,None,None,None,Silver,None,None,None,None,Bronze,None,None,Bronze,None,None,None,None,None,None,Bronze,None,None,None,Bronze,None,Gold,Bronze,Silver,Gold,None,Gold,Gold,None,None,Bronze,Silver,Silver,None,Gold,Silver,None,None,None,Silver,Silver,Bronze,Bronze,Bronze,Bronze,Bronze,Bronze,Bronze,None,None,Bronze,None,Bronze,Silver,Bronze,None,None,None,None,None,Bronze,Bronze,Bronze,Bronze,Bronze,Bronze,Bronze,Bronze,Bronze,Silver,Silver
13,Zach Miller,SG,,"6'4""",214,Iso Creator,3,Starter / Rotation,Solid Starter,Franchise Cornerstone,High — Underperforming Prospect,True,83,82,34,87,39,74,33,85,43,63,35,40,47,53,74,40,33,86,42,38,37,47,59,52,41,84,34,32,45,43,72,82,78,64,73,83,83,67,72,74,80,67,79,68,81,76,52,57,54,62,71,48,43,49,42,42,46,88,55,42,36,65,44,57,56,65,62,51,51,39,59,39,62,44,59,71,83,36,60,45,86,37,44,50,57,46,65,53,59,48,42,46,40,35,38,62,57,59,36,46,72,49,62,47,38,54,60,55,42,35,62,60,40,54,51,57,48,17,51,61,53,50,65,63,60,44,49,58,55,39,60,65,41,54,49,45,54,49,63,85,83,64,61,64,64,51,62,43,55,40,Bronze,Bronze,None,Bronze,Bronze,Bronze,None,Bronze,None,None,None,Silver,Bronze,Bronze,None,Bronze,None,Bronze,None,Silver,Bronze,Bronze,None,None,Bronze,Bronze,Bronze,None,None,Bronze,Gold,Bronze,None,None,Bronze,None,Bronze,Bronze,Bronze,Gold,Bronze,Bronze,None,None,None,Bronze,None,None,None,None,Bronze,None,None,Bronze,None,Bronze,Silver,None,Bronze,Bronze,None,Bronze,Silver,None,Bronze,Bronze,Silver,Gold,Silver,None,None,Bronze,None,None,Silver,None,Silver,Silver,Bronze,None,Bronze,None,None,None,None,Bronze,Silver,Bronze,Silver,Bronze,None,None,Bronze,None,Bronze,None,None,Bronze,None,None,Bronze,None,Bronze,None,Bronze,Bronze,Gold,None,None,None,None,Bronze,Bronze,None,None,None,Bronze,None,None,None,None,None,None,Bronze,None,None,None,Bronze,None,Silver,None,None,None,None,None,None,None,None,Bronze,None,Silver,None,Bronze,Silver
14,Tyus Duarte,PG,,"6'3""",215,Shot Hunter,3,Starter / Rotation,Solid Starter,Immediate Contributor,Moderate-High,False,59,92,44,88,74,84,69,85,86,65,46,52,60,69,59,53,45,87,45,42,58,56,51,51,51,86,44,51,51,47,86,83,86,90,85,77,81,89,88,83,83,80,86,89,84,90,67,60,72,58,75,49,51,62,59,53,40,69,49,61,54,56,42,38,37,84,76,46,58,65,36,57,35,68,66,77,80,47,79,86,39,37,64,56,60,56,60,46,43,36,50,35,49,45,36,53,36,59,50,45,49,47,62,46,58,44,57,46,52,63,35,61,51,44,41,41,59,40,49,35,40,63,63,51,54,47,60,54,58,64,54,47,36,48,71,62,57,57,59,70,90,45,44,51,62,54,63,49,43,57,None,None,None,Bronze,Silver,Silver,None,Bronze,None,Bronze,None,None,Bronze,None,Bronze,Bronze,None,None,None,Silver,None,None,Bronze,None,Bronze,None,Hall of Fame,None,Bronze,None,None,Bronze,None,Bronze,None,None,None,None,None,Silver,Gold,None,None,None,Bronze,Silver,Bronze,None,Bronze,Bronze,None,None,Bronze,Silver,None,Bronze,None,None,None,None,Bronze,None,Silver,None,None,Silver,None,Bronze,None,Bronze,None,None,None,None,Silver,Bronze,None,None,Silver,None,Silver,Silver,None,None,None,Bronze,Bronze,None,None,Gold,None,None,None,None,None,Gold,None,Silver,None,None,Bronze,None,None,None,None,None,None,Silver,None,None,Gold,Silver,None,None,None,Silver,None,Silver,Silver,None,None,Bronze,None,Silver,None,None,None,Bronze,None,None,Silver,None,None,None,Bronze,None,None,Gold,Gold,Bronze,None,Silver,Bronze,None
15,Trae Sanders,PG,SG,"6'4""",195,3-Level Scorer,3,Starter / Rotation,Defensive Starter,Peak and Decline,High — Underperforming Prospect,True,74,80,73,76,73,73,74,84,77,53,42,48,42,31,42,37,32,66,43,48,43,44,43,38,47,68,40,42,43,44,69,72,74,69,78,65,69,80,77,72,75,77,84,73,76,74,65,55,59,58,71,62,50,44,50,56,65,76,58,38,61,56,53,56,42,74,65,51,39,61,46,53,54,54,51,44,48,59,42,51,69,40,67,35,64,63,65,52,36,47,50,40,42,53,58,38,57,61,52,43,61,49,65,50,40,50,65,60,61,64,35,58,42,52,67,43,45,55,43,56,44,53,47,38,62,60,49,65,44,38,43,45,40,64,71,63,45,57,65,59,47,47,38,53,56,41,52,40,58,54,Silver,Hall of Fame,None,Gold,None,None,Bronze,Bronze,None,Silver,None,None,None,Silver,None,None,None,None,Bronze,Bronze,Silver,None,Bronze,Silver,None,Bronze,Silver,None,Silver,None,None,None,None,Gold,Silver,None,None,None,Bronze,None,None,None,None,Gold,None,Gold,Bronze,Bronze,Silver,Gold,Silver,Bronze,Silver,None,Silver,Bronze,Bronze,None,Gold,None,None,Gold,Gold,None,None,None,None,Bronze,None,None,None,Silver,Silver,None,Bronze,None,None,Bronze,None,Bronze,Bronze,None,Silver,Silver,Bronze,None,None,None,None,Bronze,Bronze,Bronze,Bronze,None,None,None,None,Bronze,None,None,None,Bronze,Silver,None,None,None,Bronze,Bronze,Bronze,Bronze,Gold,Silver,Bronze,Bronze,None,None,Bronze,Gold,Silver,Bronze,None,None,Bronze,None,None,None,None,Bronze,Silver,Silver,None,Bronze,None,None,None,None,None,Silver,None,Bronze,Bronze,Bronze,Silver,Silver
16,Tyrese Bitadze,SG,,"6'10""",231,Inside-Out Scorer,4,Role Player / Bust,Energy Guy,One-and-Done Potential,High — Underperforming Prospect,True,62,51,54,59,63,67,55,57,65,39,25,34,25,34,25,26,36,25,36,34,36,34,31,29,25,38,30,25,25,26,59,53,66,58,60,68,61,53,57,64,64,62,54,57,60,67,31,50,45,41,69,51,47,38,57,49,53,42,47,43,43,63,39,53,43,68,69,59,35,65,47,45,50,64,63,41,48,53,52,41,64,62,83,45,79,56,47,41,48,40,43,63,55,53,61,52,61,42,61,60,72,46,62,52,61,35,46,35,38,63,63,39,62,83,55,55,64,38,60,51,38,56,58,42,41,56,56,56,55,36,38,42,63,54,35,45,27,57,51,60,45,56,40,46,40,51,42,50,39,49,None,None,None,None,Bronze,Bronze,Silver,Bronze,Silver,None,Bronze,None,Silver,None,Bronze,Bronze,None,Bronze,None,Bronze,Bronze,Silver,Bronze,None,Bronze,None,Silver,Bronze,None,None,None,None,None,Silver,Bronze,None,Bronze,Silver,Silver,None,Bronze,None,Silver,None,None,None,Bronze,None,None,Bronze,None,Bronze,Bronze,Bronze,None,Silver,Bronze,Bronze,None,Gold,None,None,None,Bronze,Bronze,None,None,None,None,None,Bronze,None,None,None,None,Gold,Bronze,Silver,Bronze,None,Bronze,Silver,None,Bronze,Silver,None,None,None,Bronze,Silver,None,None,None,Bronze,Gold,Silver,Bronze,Bronze,Bronze,Bronze,Bronze,Bronze,Bronze,None,Bronze,None,None,Bronze,None,None,None,Gold,Bronze,None,None,Bronze,None,Bronze,None,Gold,Bronze,None,None,None,None,None,None,Bronze,None,None,Bronze,Silver,Bronze,Silver,Silver,None,Bronze,Bronze,Bronze,None,None,None,None,None
17,Tyrese Evans,C,PF,"6'8""",287,Paint Bully,4,Role Player / Bust,Energy Guy,Career Backup,High — Underperforming Prospect,True,25,36,65,25,25,29,61,31,35,44,27,62,66,25,25,64,72,25,30,41,58,56,29,25,25,25,25,78,37,62,62,61,53,61,54,63,56,65,64,68,60,68,69,63,63,52,36,38,40,51,67,53,87,63,37,49,40,53,53,41,56,47,56,48,39,1,51,64,52,53,48,39,59,62,42,53,62,38,60,56,50,59,43,74,53,46,36,58,51,49,53,38,49,44,60,52,45,58,50,41,40,55,55,36,57,60,58,55,61,41,58,53,55,42,52,38,43,96,62,51,76,90,62,71,79,61,62,59,63,41,47,62,74,52,64,61,76,47,57,39,50,63,52,65,45,65,57,61,38,56,None,None,Bronze,None,Bronze,Bronze,None,Silver,None,Bronze,Bronze,Silver,None,Silver,Bronze,Silver,Bronze,None,Gold,None,Bronze,None,Bronze,None,Bronze,None,Bronze,Bronze,Silver,Bronze,Bronze,Bronze,Bronze,None,None,None,None,None,Silver,Silver,Silver,Silver,Bronze,Silver,None,Silver,None,None,None,Bronze,None,Silver,Gold,None,None,Silver,Bronze,Silver,Bronze,None,None,None,Bronze,Hall of Fame,Bronze,Bronze,None,None,None,Silver,None,None,Silver,Silver,None,Silver,None,Bronze,Bronze,None,None,Silver,Bronze,None,None,Bronze,None,Bronze,Bronze,Silver,None,None,Silver,Bronze,None,None,None,None,None,Bronze,None,Bronze,None,None,None,Silver,Silver,None,Bronze,Bronze,Silver,Bronze,None,None,Silver,None,Bronze,None,Bronze,Bronze,Silver,Bronze,None,None,None,Bronze,Bronze,Bronze,None,Bronze,Bronze,None,None,None,Gold,Silver,Bronze,None,None,None,None,Bronze,None,None
18,Steph Richardson,C,PF,"6'10""",270,Putback Finisher,4,Role Player / Bust,Two-Way Call-Up,Career Backup,High,False,40,45,61,34,49,29,38,34,36,45,30,42,42,36,41,73,70,40,34,42,67,51,45,45,35,45,76,69,36,67,66,71,62,75,66,64,68,71,69,72,75,71,61,69,62,70,40,51,44,42,70,54,35,43,45,63,54,61,55,61,41,52,47,37,51,6,57,64,36,45,47,42,39,47,58,53,36,54,42,44,64,51,55,87,77,44,89,85,87,42,39,41,63,62,57,63,43,57,63,62,49,61,63,57,44,48,54,54,44,36,50,49,39,59,43,49,52,36,62,48,59,46,35,46,43,44,53,39,38,42,59,63,42,54,42,42,99,50,38,62,36,42,51,58,44,58,40,65,55,47,Silver,Bronze,None,None,Silver,Bronze,None,Bronze,None,Silver,None,None,Bronze,Silver,None,None,None,Silver,None,Bronze,None,Bronze,Bronze,None,None,None,Silver,None,None,Bronze,None,Bronze,None,Silver,Gold,Bronze,Silver,Gold,Bronze,Bronze,Bronze,Bronze,Gold,None,None,Bronze,None,None,Bronze,Bronze,None,Bronze,Silver,None,None,Bronze,Silver,None,Silver,None,None,None,None,None,None,Silver,Bronze,None,Bronze,None,None,Silver,None,None,None,None,None,Bronze,Bronze,None,None,None,None,None,None,Bronze,None,Bronze,None,Bronze,Bronze,None,Bronze,Silver,Bronze,Hall of Fame,Silver,None,Bronze,None,None,Bronze,None,Silver,Silver,None,None,None,None,Bronze,Bronze,None,None,Bronze,Gold,Silver,None,None,Silver,Silver,Silver,Gold,None,Bronze,None,Bronze,None,Bronze,None,Bronze,Silver,Gold,Bronze,Bronze,Bronze,None,None,None,Gold,None,Bronze,Silver,None,Silver
19,Chris Evans,SG,,"6'10""",227,Inside-Out Scorer,4,Role Player / Bust,Spot Minute Contributor,Peak and Decline,High — Underperforming Prospect,True,67,50,56,52,63,62,57,52,62,37,25,33,28,25,28,27,27,35,29,25,29,25,25,25,28,33,40,25,25,25,50,66,50,59,53,64,66,55,58,63,65,66,67,68,53,52,32,43,42,36,72,60,46,35,41,42,43,34,53,51,36,55,61,37,53,68,84,54,61,41,49,46,42,62,51,38,40,58,42,51,42,35,73,53,67,48,40,47,62,36,59,67,50,48,47,65,39,49,42,51,90,51,41,46,50,47,65,61,52,65,37,51,45,80,56,58,50,20,44,38,54,42,40,43,42,46,43,38,51,39,58,48,51,61,35,43,39,50,58,57,52,52,63,52,46,59,36,60,39,57,None,None,Silver,None,Bronze,Silver,None,Silver,None,Bronze,Bronze,Bronze,None,None,Gold,Bronze,None,Silver,None,Bronze,Bronze,None,None,Bronze,None,Gold,None,Silver,None,Bronze,None,None,Bronze,None,Bronze,None,None,None,None,Silver,Bronze,Bronze,Gold,Gold,Bronze,Bronze,Bronze,None,None,Bronze,Silver,None,Silver,Bronze,Gold,None,Bronze,Silver,Gold,Bronze,None,Gold,None,None,None,Silver,None,None,None,None,None,None,None,None,Bronze,None,None,None,None,Silver,None,None,Silver,Bronze,None,None,Bronze,None,Silver,None,Bronze,Bronze,None,Gold,None,Bronze,Silver,None,None,None,Bronze,Hall of Fame,Bronze,None,Silver,None,Silver,None,None,None,Hall of Fame,None,Silver,Bronze,Gold,Bronze,Silver,None,None,Bronze,None,Silver,None,None,None,Bronze,Silver,Bronze,Bronze,Bronze,None,Bronze,Bronze,None,Bronze,None,None,None,None,None,Silver,Bronze,Hall of Fame,None
20,P.J. Ziaire,PF,C,"6'11""",240,Rim Running Big,4,Role Player / Bust,Practice Player,Journeyman,High,False,59,25,59,36,60,47,28,31,35,40,27,32,40,45,34,67,73,42,34,35,65,69,39,65,32,29,69,71,30,33,61,65,74,65,74,67,65,65,72,71,72,66,71,65,65,74,52,43,54,50,73,40,52,58,44,56,46,39,38,63,50,59,63,56,52,20,58,49,37,47,38,46,40,38,38,47,38,43,50,55,46,37,58,84,77,55,80,84,93,60,35,65,49,43,62,45,49,43,39,40,42,56,38,65,42,62,52,60,52,44,39,36,40,36,55,64,38,51,44,47,55,61,62,49,51,55,39,42,54,49,50,51,65,58,63,43,83,56,39,63,65,41,51,48,42,47,60,75,49,43,None,None,None,None,Bronze,None,None,Bronze,Bronze,None,None,None,None,None,None,Bronze,None,None,None,None,None,Silver,None,None,Silver,Bronze,None,Bronze,None,None,Silver,Bronze,None,None,None,None,Hall of Fame,Silver,Bronze,Bronze,None,Bronze,None,None,Bronze,Bronze,Silver,Bronze,Silver,None,None,None,None,Bronze,None,None,None,Bronze,None,None,None,Gold,None,None,Bronze,None,None,Silver,Bronze,None,None,Silver,None,None,None,Bronze,None,None,Silver,Silver,None,Bronze,Bronze,Bronze,None,None,Bronze,Bronze,Bronze,Bronze,None,None,None,None,Bronze,Bronze,Gold,Bronze,Silver,Bronze,Bronze,None,Bronze,Bronze,None,Gold,Silver,Silver,None,Bronze,None,None,Bronze,None,None,Silver,Bronze,Bronze,Silver,Bronze,None,Gold,None,None,None,None,Bronze,None,Bronze,None,None,Silver,None,Silver,Bronze,Bronze,Silver,None,None,Silver,Bronze,None,None,Gold
21,Tyrese Hill,SF,,"6'11""",246,Break Starter,4,Role Player / Bust,Career Backup,Immediate Contributor,High — Underperforming Prospect,True,35,30,27,25,58,27,30,25,27,41,28,31,27,64,61,58,28,38,66,25,65,58,35,48,30,25,25,65,36,68,60,58,48,70,62,64,65,59,59,71,65,61,59,64,70,62,42,43,41,45,60,60,50,62,57,50,46,41,56,60,38,36,65,47,49,37,60,61,64,38,46,46,39,60,49,61,37,39,64,44,51,55,65,52,49,42,55,71,63,36,35,52,51,39,49,61,53,42,62,36,62,37,47,51,38,60,50,47,60,53,51,41,64,65,83,65,80,48,37,46,43,41,61,42,45,44,48,37,53,38,41,52,51,35,56,64,81,21,38,55,50,55,56,39,39,56,44,66,51,43,Bronze,Bronze,None,Silver,Bronze,None,None,Bronze,Bronze,Silver,Bronze,None,Silver,Bronze,Bronze,None,Bronze,None,None,Bronze,Bronze,None,Bronze,Silver,None,None,None,Bronze,None,Silver,None,None,Bronze,None,Bronze,None,Silver,Bronze,Bronze,Gold,Silver,None,None,None,None,None,None,None,None,None,Bronze,None,Bronze,Silver,Silver,Silver,Bronze,None,None,None,Bronze,None,Bronze,Bronze,None,Gold,None,Silver,Bronze,Silver,None,Bronze,Silver,None,Silver,None,Gold,Silver,Bronze,None,Bronze,Gold,None,None,None,None,Bronze,None,None,None,None,Bronze,None,None,Silver,None,Silver,None,None,None,None,None,Bronze,None,None,Gold,None,Bronze,None,Bronze,Silver,None,None,Bronze,None,None,Bronze,Bronze,None,None,Silver,Bronze,None,None,None,Bronze,None,Bronze,Bronze,None,Bronze,Bronze,Bronze,Bronze,Bronze,None,None,None,None,None,None,None,Silver,Bronze
22,Derrick Harris,SG,SF,"6'6""",200,Movement Shooter,4,Role Player / Bust,End-of-Bench Role Player,Franchise Cornerstone,High — Underperforming Prospect,True,44,70,33,45,57,59,25,67,60,35,38,25,25,47,25,31,36,56,29,25,25,28,26,25,25,34,39,29,37,27,63,55,72,55,54,61,51,58,56,63,64,59,61,55,56,68,53,35,33,36,56,36,37,40,45,46,65,31,60,58,59,60,44,54,35,89,95,83,57,47,56,65,41,57,44,38,48,38,47,43,58,36,49,36,45,44,50,41,51,57,58,61,36,60,54,38,51,36,40,64,34,64,47,58,52,51,48,48,47,57,52,48,41,47,62,58,40,11,42,55,62,53,36,42,58,39,64,35,42,64,54,56,58,38,42,61,38,45,41,40,48,57,44,42,48,42,49,65,47,39,Gold,Bronze,Bronze,None,None,None,None,Bronze,None,Bronze,None,None,None,Silver,Bronze,None,None,Gold,None,None,None,Bronze,Bronze,None,None,None,Bronze,Silver,None,None,None,Silver,Bronze,Gold,None,Bronze,Bronze,Silver,Bronze,None,Bronze,None,Bronze,Bronze,None,None,None,None,Bronze,None,None,None,None,None,Bronze,Bronze,None,Bronze,None,Bronze,Bronze,None,Bronze,Bronze,Silver,None,Silver,Bronze,None,Bronze,Bronze,Bronze,None,None,Bronze,Bronze,Bronze,None,None,None,Bronze,None,None,Silver,None,None,None,None,None,None,None,None,None,Silver,Bronze,None,None,None,None,None,Bronze,Silver,Silver,None,None,None,None,None,Bronze,None,None,None,Bronze,Bronze,Gold,None,Bronze,None,None,None,Silver,None,None,None,None,Bronze,Silver,None,None,Bronze,None,Bronze,Silver,None,None,Bronze,Silver,Gold,None,Gold,Hall of Fame,None,Bronze,None
